Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/core.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/core.eda.nokia.com/v1,GET,ResourceList,resource_list,true,true,false
/apps/core.eda.nokia.com/v1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/core.eda.nokia.com/v1/clusterroles,DELETE,com.nokia.eda.core.v1.ClusterRoleList,,false,false,false
/apps/core.eda.nokia.com/v1/clusterroles,GET,com.nokia.eda.core.v1.ClusterRoleList,cluster_role_list,true,true,false
/apps/core.eda.nokia.com/v1/clusterroles,POST,com.nokia.eda.core.v1.ClusterRole,cluster_role,true,false,true
/apps/core.eda.nokia.com/v1/clusterroles/_deleted,GET,com.nokia.eda.core.v1.ClusterRole_DeletedResources,,false,false,false
/apps/core.eda.nokia.com/v1/clusterroles/{name},DELETE,Status,cluster_role,true,false,true
/apps/core.eda.nokia.com/v1/clusterroles/{name},GET,com.nokia.eda.core.v1.ClusterRole,cluster_role,true,true,true
/apps/core.eda.nokia.com/v1/clusterroles/{name},PATCH,Patch,,false,false,false
/apps/core.eda.nokia.com/v1/clusterroles/{name},PUT,com.nokia.eda.core.v1.ClusterRole,cluster_role,true,false,true
/apps/core.eda.nokia.com/v1/clusterroles/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/core.eda.nokia.com/v1/clusterroles/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/core.eda.nokia.com/v1/deviationactions,GET,com.nokia.eda.core.v1.DeviationActionList,,false,false,false
/apps/core.eda.nokia.com/v1/deviations,GET,com.nokia.eda.core.v1.DeviationList,,false,false,false
/apps/core.eda.nokia.com/v1/edgeinterfaces,GET,com.nokia.eda.core.v1.EdgeInterfaceList,,false,false,false
/apps/core.eda.nokia.com/v1/httpproxies,DELETE,com.nokia.eda.core.v1.HttpProxyList,,false,false,false
/apps/core.eda.nokia.com/v1/httpproxies,GET,com.nokia.eda.core.v1.HttpProxyList,http_proxy_list,true,true,false
